x,log3(x)
-0.500000,NaN
-0.450000,NaN
-0.400000,NaN
-0.350000,NaN
-0.300000,NaN
-0.250000,NaN
-0.200000,NaN
-0.150000,NaN
-0.100000,NaN
-0.050000,NaN
-0.000000,NaN
0.050000,-2.725972
0.100000,-2.095677
0.150000,-1.726723
0.200000,-1.464956
0.250000,-1.261892
0.300000,-1.095913
0.350000,-0.955663
0.400000,-0.834123
0.450000,-0.726885
0.500000,-0.630914
0.550000,-0.544173
0.600000,-0.464966
0.650000,-0.392087
0.700000,-0.324697
0.750000,-0.261874
0.800000,-0.203092
0.850000,-0.147950
0.900000,-0.095901
0.950000,-0.046661
1.000000,-0.000000
1.050000,0.044387
1.100000,0.086759
1.150000,0.127173
1.200000,0.165968
1.250000,0.203092
1.300000,0.238842
1.350000,0.273172
1.400000,0.306233
1.450000,0.338241
1.500000,0.369073
1.550000,0.398969
1.600000,0.427849
1.650000,0.455830
1.700000,0.483057
1.750000,0.509423
1.800000,0.535037
1.850000,0.560032
1.900000,0.584286
1.950000,0.607903
2.000000,0.630914
2.050000,0.653459
2.100000,0.675368
2.150000,0.696755
2.200000,0.717747
2.250000,0.738178
2.300000,0.758155
2.350000,0.777793
2.400000,0.796934
2.450000,0.815675
2.500000,0.834123
2.550000,0.852127
2.600000,0.869776
2.650000,0.887085
2.700000,0.904164
2.750000,0.920843
2.800000,0.937216
2.850000,0.953388
2.900000,0.969196
2.950000,0.984731
3.000000,1.000000
3.050000,1.015111
3.100000,1.029888
3.150000,1.044425
3.200000,1.058822
3.250000,1.072912
3.300000,1.086784
3.350000,1.100444
3.400000,1.113994
3.450000,1.127258
3.500000,1.140330
3.550000,1.153212
3.600000,1.166010
3.650000,1.178541
3.700000,1.190899
3.750000,1.203180
3.800000,1.215213
3.850000,1.227087
3.900000,1.238805
3.950000,1.250465
4.000000,1.261892
4.050000,1.273174
4.100000,1.284315
4.150000,1.295414
4.200000,1.306292
4.250000,1.317038
4.300000,1.327656
4.350000,1.338247
4.400000,1.348626
4.450000,1.358885
4.500000,1.369119
4.550000,1.379154
4.600000,1.389077
4.650000,1.398892
4.700000,1.408691
4.750000,1.418301
4.800000,1.427807
4.850000,1.437214
4.900000,1.446614
4.950000,1.455832
5.000000,1.464956
5.050000,1.473987
5.100000,1.483020
5.150000,1.491877
5.200000,1.500648
5.250000,1.509332
5.300000,1.518025
5.350000,1.526549
5.400000,1.534992
5.450000,1.543355
5.500000,1.551734
5.550000,1.559948
5.600000,1.568087
5.650000,1.576153
5.700000,1.584238
5.750000,1.592165
5.800000,1.600021
5.850000,1.607809
5.900000,1.615622
5.950000,1.623280
6.000000,1.630873
6.050000,1.638401
6.100000,1.645959
6.150000,1.653366
6.200000,1.660712
6.250000,1.667998
6.300000,1.675317
6.350000,1.682490
6.400000,1.689605
6.450000,1.696663
6.500000,1.703758
6.550000,1.710710
6.600000,1.717608
6.650000,1.724453
6.700000,1.731246
6.750000,1.738082
6.800000,1.744776
6.850000,1.751420
6.900000,1.758014
6.950000,1.764654
7.000000,1.771156
7.050000,1.777610
7.100000,1.784018
7.150000,1.790473
7.200000,1.796793
7.250000,1.803068
7.300000,1.809299
7.350000,1.815579
7.400000,1.821727
7.450000,1.827833
7.500000,1.833897
7.550000,1.840012
7.600000,1.845997
7.650000,1.851943
7.700000,1.857848
7.750000,1.863715
7.800000,1.869637
7.850000,1.875430
7.900000,1.881185
7.950000,1.886903
8.000000,1.892678
8.050000,1.898326
8.100000,1.903939
8.150000,1.909516
8.200000,1.915150
8.250000,1.920661
8.300000,1.926137
8.350000,1.931580
8.400000,1.936990
8.450000,1.942460
8.500000,1.947807
8.550000,1.953122
8.600000,1.958405
8.650000,1.963750
8.700000,1.968974
8.750000,1.974166
8.800000,1.979329
8.850000,1.984553
8.900000,1.989659
8.950000,1.994735
9.000000,1.999782
9.050000,2.004801
9.100000,2.009885
9.150000,2.014849
9.200000,2.019786
9.250000,2.024696
9.300000,2.029671
9.350000,2.034529
9.400000,2.039360
9.450000,2.044165
9.500000,2.049036
9.550000,2.053792
9.600000,2.058522
9.650000,2.063227
9.700000,2.067907
9.750000,2.072655
9.800000,2.077289
9.850000,2.081898
9.900000,2.086483
9.950000,2.091136
