x,log5(x)
-0.500000,NaN
-0.450000,NaN
-0.400000,NaN
-0.350000,NaN
-0.300000,NaN
-0.250000,NaN
-0.200000,NaN
-0.150000,NaN
-0.100000,NaN
-0.050000,NaN
-0.000000,NaN
0.050000,-1.860788
0.100000,-1.430539
0.150000,-1.178686
0.200000,-1.000000
0.250000,-0.861385
0.300000,-0.748086
0.350000,-0.652350
0.400000,-0.569384
0.450000,-0.496182
0.500000,-0.430671
0.550000,-0.371460
0.600000,-0.317393
0.650000,-0.267644
0.700000,-0.221643
0.750000,-0.178759
0.800000,-0.138633
0.850000,-0.100993
0.900000,-0.065463
0.950000,-0.031851
1.000000,-0.000000
1.050000,0.030299
1.100000,0.059223
1.150000,0.086810
1.200000,0.113292
1.250000,0.138633
1.300000,0.163037
1.350000,0.186471
1.400000,0.209039
1.450000,0.230888
1.500000,0.251934
1.550000,0.272342
1.600000,0.292056
1.650000,0.311156
1.700000,0.329742
1.750000,0.347740
1.800000,0.365224
1.850000,0.382286
1.900000,0.398842
1.950000,0.414964
2.000000,0.430671
2.050000,0.446061
2.100000,0.461016
2.150000,0.475615
2.200000,0.489944
2.250000,0.503891
2.300000,0.517527
2.350000,0.530932
2.400000,0.543998
2.450000,0.556791
2.500000,0.569384
2.550000,0.581674
2.600000,0.593722
2.650000,0.605537
2.700000,0.617195
2.750000,0.628580
2.800000,0.639757
2.850000,0.650796
2.900000,0.661587
2.950000,0.672191
3.000000,0.682614
3.050000,0.692930
3.100000,0.703017
3.150000,0.712940
3.200000,0.722767
3.250000,0.732385
3.300000,0.741854
3.350000,0.751179
3.400000,0.760428
3.450000,0.769483
3.500000,0.778405
3.550000,0.787199
3.600000,0.795935
3.650000,0.804489
3.700000,0.812925
3.750000,0.821308
3.800000,0.829522
3.850000,0.837627
3.900000,0.845626
3.950000,0.853585
4.000000,0.861385
4.050000,0.869087
4.100000,0.876692
4.150000,0.884268
4.200000,0.891693
4.250000,0.899029
4.300000,0.906277
4.350000,0.913507
4.400000,0.920591
4.450000,0.927594
4.500000,0.934580
4.550000,0.941430
4.600000,0.948204
4.650000,0.954904
4.700000,0.961593
4.750000,0.968152
4.800000,0.974642
4.850000,0.981063
4.900000,0.987480
4.950000,0.993772
5.000000,1.000000
5.050000,1.006165
5.100000,1.012331
5.150000,1.018377
5.200000,1.024364
5.250000,1.030292
5.300000,1.036226
5.350000,1.042044
5.400000,1.047808
5.450000,1.053517
5.500000,1.059236
5.550000,1.064843
5.600000,1.070399
5.650000,1.075904
5.700000,1.081424
5.750000,1.086835
5.800000,1.092197
5.850000,1.097513
5.900000,1.102846
5.950000,1.108074
6.000000,1.113257
6.050000,1.118396
6.100000,1.123555
6.150000,1.128611
6.200000,1.133626
6.250000,1.138600
6.300000,1.143595
6.350000,1.148492
6.400000,1.153349
6.450000,1.158167
6.500000,1.163009
6.550000,1.167755
6.600000,1.172464
6.650000,1.177137
6.700000,1.181773
6.750000,1.186439
6.800000,1.191009
6.850000,1.195544
6.900000,1.200046
6.950000,1.204578
7.000000,1.209016
7.050000,1.213422
7.100000,1.217796
7.150000,1.222202
7.200000,1.226517
7.250000,1.230800
7.300000,1.235054
7.350000,1.239340
7.400000,1.243537
7.450000,1.247705
7.500000,1.251845
7.550000,1.256018
7.600000,1.260104
7.650000,1.264163
7.700000,1.268194
7.750000,1.272198
7.800000,1.276241
7.850000,1.280195
7.900000,1.284124
7.950000,1.288027
8.000000,1.291969
8.050000,1.295825
8.100000,1.299656
8.150000,1.303463
8.200000,1.307309
8.250000,1.311071
8.300000,1.314809
8.350000,1.318524
8.400000,1.322217
8.450000,1.325951
8.500000,1.329601
8.550000,1.333229
8.600000,1.336836
8.650000,1.340484
8.700000,1.344050
8.750000,1.347594
8.800000,1.351118
8.850000,1.354685
8.900000,1.358170
8.950000,1.361635
9.000000,1.365080
9.050000,1.368506
9.100000,1.371976
9.150000,1.375365
9.200000,1.378735
9.250000,1.382087
9.300000,1.385482
9.350000,1.388799
9.400000,1.392097
9.450000,1.395377
9.500000,1.398701
9.550000,1.401948
9.600000,1.405177
9.650000,1.408389
9.700000,1.411583
9.750000,1.414824
9.800000,1.417987
9.850000,1.421134
9.900000,1.424264
9.950000,1.427440
